Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,SPIRITS KEGS,10,8,0.96%,FELLOW VODKA KEG           15L,301150,,,,,,
,SPIRITS KEGS,11,13,0.81%,CASA GIN KEG       20L,246478,9356572000902,,core-extract,1.0,943.62,
,SPIRITS KEGS,12,13,0.42%,TRIPLE G AUSTRALIAN DRY GIN20L,137336,,,,,,
,SPIRITS KEGS,13,13,0.03%,FELLOW GIN KEG             15L,393961,,,,,,
,SPIRITS KEGS,14,3,0.00%,JIM BEAM WHITE 37% KEG     20L,674215,,,,,,
,SPIRITS KEGS,14,10,0.00%,ARKTIKA VODKA              20L,527955,,,,,,
,SPIRITS KEGS,14,5,0.00%,JIM BEAM WHITE LBL  37% KEG20L,760338,,,,,,
,TEQUILA,1,3,9.87%,EL JIMADOR TEQUILA BLANC 700ML,543095,7501145268100,,core-extract,6.0,54.29,YES
,TEQUILA,2,2,8.93%,ESPOLON TEQUILA BLANCO   700ML,574533,0664804000934,,core-extract,6.0,57.16,
,TEQUILA,3,4,8.18%,OLMECA ALTOS PLATA       700ML,97609,7501003698636,,core-extract,6.0,54.74,
,TEQUILA,4,1,7.88%,EL JIMADOR TEQUILA REPOS 700ML,511933,7501145269107,,core-extract,6.0,58.35,YES
,TEQUILA,5,5,5.60%,SIERRA TEQUILA BLANCO 38%700ML,369373,,,,,,
,TEQUILA,6,9,4.40%,1800 COCONUT TEQUILA 700ML,276211,7501035013742,,core-extract,6.0,68.33,YES
,TEQUILA,7,6,4.15%,JOSE CUERVO ESP GOLD TEQ 700ML,536239,0082000491651,,core-extract,6.0,52.40,YES
,TEQUILA,8,8,3.36%,JOSE CUERVO ESP SILV TEQ 700ML,512426,7501035042308,,core-extract,6.0,52.40,YES
,TEQUILA,9,11,2.75%,CASAMIGOS BLANCO TEQ 40% 700ML,458897,5000281058320,,core-extract,6.0,62.07,
,TEQUILA,10,51,2.50%,DON JULIO BLANCO 38%     700ML,195818,7506064300160,,core-extract,6.0,78.76,YES
,TEQUILA,11,15,2.04%,AVC MARGARITA BATCH      750ML,700273,,,,,,
,TEQUILA,12,21,1.79%,CASAMIGOS TEQ BLANCO 40%    1L,234492,,,,,,
