Range? (y/n),Brand,ALM description,Category,Supplier,ALM item code,Barcode (GTIN),Carton size,Unit cost ex GST,Retail @25% GP ex GST,On promo,Notes
,DE,DEVILS LAIR 5TH LEG RED  750ML,WINE STILL RED,TREASURY WINE ESTATES,555364,9310194102918,6,9.17,13.99,Y,
,ST,DE BORTOLI DEEN MASTER   750ML,WINE STILL RED,DE BORTOLI WINES PTY LIMI,292592,9300752011417,6,8.35,12.99,Y,
,TATACHILLA,TATACHILLA WHT ADML P/N  750ML,WINE STILL RED,VINARCHY AUSTRALIA,290472,9313048022110,6,7.34,10.99,Y,
,DE,DEVILS LAIR HNYBOMB ROSE 750ML,WINE STILL ROSE,TREASURY WINE ESTATES,945556,9310297013647,6,14.31,20.99,,
,DE,DEVILS LAIR 5TH LEG ROSE 750ML,WINE STILL ROSE,TREASURY WINE ESTATES,536996,9310194452143,6,9.17,13.99,Y,
,TATACHILLA,TATACHILLA WHIT ADML ROSE750ML,WINE STILL ROSE,VINARCHY AUSTRALIA,20542,9313048851819,6,7.34,10.99,Y,
,BAY,CLOUDY BAY TE KOKO       750ML,WINE STILL WHITE,MOET HENNESSY AUSTRALIA,807240,9418408040015,6,73.54,107.99,,
,DE,DEVILS LAIR MR CHARD     750ML,WINE STILL WHITE,TREASURY WINE ESTATES,561983,9310194102871,6,38.20,56.99,,
,BAY,BAY OF FIRES SAUV BLANC  750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,787563,9311043067846,6,25.08,36.99,,
,DE,DEVILS LAIR DANCE CHARD  750ML,WINE STILL WHITE,TREASURY WINE ESTATES,276091,9310194002263,6,22.20,32.99,,
,DE,DEVILS LAIR H/CVE CHARD  750ML,WINE STILL WHITE,TREASURY WINE ESTATES,542594,9310194001211,6,16.25,23.99,,
,DE,DEVILS LAIR HNYBOMB CHARD750ML,WINE STILL WHITE,TREASURY WINE ESTATES,945357,9310194002461,6,14.31,20.99,,
,TE,EVANS & TATE W/C S/BLANC 750ML,WINE STILL WHITE,EVANS & TATE PTY LTD,836524,9352839000760,6,11.29,16.99,Y,
,BAY,OKIWI BAY SAUVIGNON BLANC750ML,WINE STILL WHITE,CALABRIA FAMILY WINES P/L,953897,9319020007366,12,10.38,15.99,Y,
,TE,TEMPUS TWO VAR VERDELHO  750ML,WINE STILL WHITE,AUSTRALIAN VINTAGE-DOMEST,783569,9315743500047,6,9.53,13.99,Y,
,DE,DEVILS LAIR 5TH LEG CHAR 750ML,WINE STILL WHITE,TREASURY WINE ESTATES,780781,9310194455458,6,9.17,13.99,Y,
,DE,DEVILS LAIR 5TH LEG WHT  750ML,WINE STILL WHITE,TREASURY WINE ESTATES,525678,9310194102925,6,9.17,13.99,Y,
,TATACHILLA,TATACHILLA WHIT ADML MOSC750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,979445,9313048019226,6,7.34,10.99,Y,
,TATACHILLA,TATACHILLA WHT ADML S/BLC750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,244840,9313048007988,6,7.34,10.99,Y,
,TATACHILLA,TATACHILLA WHT ADML P/GRI750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,20916,9313048851802,6,7.34,10.99,Y,
,TATACHILLA,TATACHILLA SAUV BLANC OP 750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,471675,9313048600783,12,6.72,9.99,,
,TE,GLADES WATERMELON LIQ    700ML,WINE BASED SCHNAPPS,DIVAS BEVERAGES AUSTRALIA,339404,9349658009210,6,10.74,15.99,Y,
,DE,GLADES ORANGE LIQUEUR    700ML,WINE BASED SCHNAPPS,DIVAS BEVERAGES AUSTRALIA,188497,9331772020011,6,10.74,15.99,Y,
,ST,GLADES STRAWBERRY LIQUEUR700ML,WINE BASED SCHNAPPS,DIVAS BEVERAGES AUSTRALIA,188484,9331772020066,6,10.74,15.99,Y,
,SQUEALING,SQUEALING PIG S/BLANC KEG  30L,WINE KEGS,TREASURY WINE ESTATES,468737,04687375,1,646.40,948.99,,
,MUD,MUD HOUSE SAUV BLANC KEG   30L,WINE KEGS,VINARCHY AUSTRALIA,913067,09130678,1,546.17,801.99,,
,TE,TEMPUS TWO COPP MOSCATO  750ML,WINE MOSCATO,AUSTRALIAN VINTAGE-DOMEST,891922,9315743501983,6,18.54,27.99,,
,LA,LA VIEILLE FERME SPK ROSE750ML,WINE SPARKLING ROSE,SAMUEL SMITH & SON,286423,3296184020379,6,19.17,28.99,,
,ST,KNAPPSTEIN CV SPK ROSE   750ML,WINE SPARKLING ROSE,KNAPPSTEIN WINES,195410,9312217000270,6,18.86,27.99,Y,
